row_index,lot,group,tray,txid,xray_issues,expected_image,status,message
121,260401468,1,2,642677760185,pBT,642677760185.png,VALID,Image found at lot1_images\642677760185.png
122,260401468,1,5,647486364860,Functional,647486364860.png,VALID,Image found at lot1_images\647486364860.png
123,260401468,1,3,652038062149,Functional,652038062149.png,VALID,Image found at lot1_images\652038062149.png
124,260401468,1,4,659626483531,Functional,659626483531.png,VALID,Image found at lot1_images\659626483531.png
125,260401468,1,5,661165245001,Functional,661165245001.png,VALID,Image found at lot1_images\661165245001.png
126,260401468,1,3,661650570431,pBT,661650570431.png,VALID,Image found at lot1_images\661650570431.png
127,260401468,1,3,665756876355,pBT,665756876355.png,VALID,Image found at lot1_images\665756876355.png
128,260401468,1,4,669513071035,Functional,669513071035.png,VALID,Image found at lot1_images\669513071035.png
129,260401468,1,1,674580554825,Functional,674580554825.png,VALID,Image found at lot1_images\674580554825.png
130,260401468,1,1,681676374607,Functional,681676374607.png,VALID,Image found at lot1_images\681676374607.png
131,260401468,1,5,681782384719,Functional,681782384719.png,VALID,Image found at lot1_images\681782384719.png
132,260401468,1,5,695103190974,Functional,695103190974.png,VALID,Image found at lot1_images\695103190974.png
133,260401468,1,3,704227637685,Functional,704227637685.png,VALID,Image found at lot1_images\704227637685.png
134,260401468,1,5,707174412619,Functional,707174412619.png,VALID,Image found at lot1_images\707174412619.png
135,260401468,1,4,715750723144,Functional,715750723144.png,VALID,Image found at lot1_images\715750723144.png
136,260401468,1,2,718882355381,pBT,718882355381.png,VALID,Image found at lot1_images\718882355381.png
137,260401468,1,2,719800238268,Functional,719800238268.png,VALID,Image found at lot1_images\719800238268.png
138,260401468,1,3,720577400643,Functional,720577400643.png,VALID,Image found at lot1_images\720577400643.png
139,260401468,1,4,731625393078,Functional,731625393078.png,VALID,Image found at lot1_images\731625393078.png
140,260401468,1,4,733571920565,Functional,733571920565.png,VALID,Image found at lot1_images\733571920565.png
141,260401468,1,5,740415804347,Functional,740415804347.png,VALID,Image found at lot1_images\740415804347.png
142,260401468,1,3,744864895154,Functional,744864895154.png,VALID,Image found at lot1_images\744864895154.png
143,260401468,1,5,763227218251,Functional,763227218251.png,VALID,Image found at lot1_images\763227218251.png
144,260401468,1,4,766231467443,Functional,766231467443.png,VALID,Image found at lot1_images\766231467443.png
145,260401468,1,1,772075801270,Functional,772075801270.png,VALID,Image found at lot1_images\772075801270.png
146,260401468,1,3,774859220810,pBT,774859220810.png,VALID,Image found at lot1_images\774859220810.png
147,260401468,1,4,777115535947,BT,777115535947.png,VALID,Image found at lot1_images\777115535947.png
148,260401468,1,4,781371789125,Functional,781371789125.png,VALID,Image found at lot1_images\781371789125.png
149,260401468,1,1,783303208118,Functional,783303208118.png,VALID,Image found at lot1_images\783303208118.png
150,260401468,1,4,791527431747,Functional,791527431747.png,VALID,Image found at lot1_images\791527431747.png
151,260401468,1,4,794825429059,Functional,794825429059.png,VALID,Image found at lot1_images\794825429059.png
152,260401468,1,5,794854440884,Functional,794854440884.png,VALID,Image found at lot1_images\794854440884.png
153,260401468,1,5,797575029945,Functional,797575029945.png,VALID,Image found at lot1_images\797575029945.png
154,260401468,1,3,797972730440,pBT,797972730440.png,VALID,Image found at lot1_images\797972730440.png
155,260401468,1,4,803924128446,Functional,803924128446.png,VALID,Image found at lot1_images\803924128446.png
156,260401468,1,3,805665069245,Functional,805665069245.png,VALID,Image found at lot1_images\805665069245.png
157,260401468,1,1,806932709961,pBT,806932709961.png,VALID,Image found at lot1_images\806932709961.png
158,260401468,1,2,813154990525,Functional,813154990525.png,VALID,Image found at lot1_images\813154990525.png
159,260401468,1,1,817725309879,Functional,817725309879.png,VALID,Image found at lot1_images\817725309879.png
160,260401468,1,1,836490545741,pBT,836490545741.png,VALID,Image found at lot1_images\836490545741.png
161,260401468,1,4,849071065023,pBT,849071065023.png,VALID,Image found at lot1_images\849071065023.png
