threshold,tp,tn,fp,fn,accuracy,sensitivity,specificity,precision,f1,balanced_accuracy,flagged_count,missed_count
0.1,46,23,131,0,0.345,1.0,0.14935064935064934,0.2598870056497175,0.41255605381165916,0.5746753246753247,177,0
0.15,46,44,110,0,0.45,1.0,0.2857142857142857,0.2948717948717949,0.45544554455445546,0.6428571428571428,156,0
0.2,46,58,96,0,0.52,1.0,0.37662337662337664,0.323943661971831,0.4893617021276596,0.6883116883116883,142,0
0.25,46,73,81,0,0.595,1.0,0.474025974025974,0.36220472440944884,0.5317919075144509,0.737012987012987,127,0
0.3,45,88,66,1,0.665,0.9782608695652174,0.5714285714285714,0.40540540540540543,0.5732484076433122,0.7748447204968945,111,1
0.35,45,99,55,1,0.72,0.9782608695652174,0.6428571428571429,0.45,0.6164383561643836,0.8105590062111802,100,1
0.4,43,106,48,3,0.745,0.9347826086956522,0.6883116883116883,0.4725274725274725,0.6277372262773723,0.8115471485036703,91,3
0.45,41,118,36,5,0.795,0.8913043478260869,0.7662337662337663,0.5324675324675324,0.6666666666666666,0.8287690570299266,77,5
0.5,41,123,31,5,0.82,0.8913043478260869,0.7987012987012987,0.5694444444444444,0.6949152542372882,0.8450028232636928,72,5
0.55,38,130,24,8,0.84,0.8260869565217391,0.8441558441558441,0.6129032258064516,0.7037037037037037,0.8351214003387917,62,8
0.6,36,135,19,10,0.855,0.782608695652174,0.8766233766233766,0.6545454545454545,0.7128712871287128,0.8296160361377753,55,10
0.65,33,135,19,13,0.84,0.717391304347826,0.8766233766233766,0.6346153846153846,0.6734693877551019,0.7970073404856013,52,13
0.7,31,138,16,15,0.845,0.6739130434782609,0.8961038961038961,0.6595744680851063,0.6666666666666667,0.7850084697910784,47,15
0.75,27,144,10,19,0.855,0.5869565217391305,0.935064935064935,0.7297297297297297,0.6506024096385542,0.7610107284020328,37,19
0.8,20,148,6,26,0.84,0.43478260869565216,0.961038961038961,0.7692307692307693,0.5555555555555555,0.6979107848673066,26,26
0.85,14,150,4,32,0.82,0.30434782608695654,0.974025974025974,0.7777777777777778,0.43750000000000006,0.6391869000564653,18,32
0.9,8,152,2,38,0.8,0.17391304347826086,0.987012987012987,0.8,0.2857142857142857,0.5804630152456239,10,38
