threshold,tp,tn,fp,fn,accuracy,sensitivity,specificity,precision,f1,balanced_accuracy,flagged_count,missed_count
0.1,17,140,41,2,0.785,0.8947368421052632,0.7734806629834254,0.29310344827586204,0.44155844155844154,0.8341087525443442,58,2
0.15,16,148,33,3,0.82,0.8421052631578947,0.8176795580110497,0.32653061224489793,0.4705882352941176,0.8298924105844723,49,3
0.2,15,158,23,4,0.865,0.7894736842105263,0.8729281767955801,0.39473684210526316,0.5263157894736843,0.8312009305030532,38,4
0.25,15,162,19,4,0.885,0.7894736842105263,0.8950276243093923,0.4411764705882353,0.5660377358490566,0.8422506542599593,34,4
0.3,15,163,18,4,0.89,0.7894736842105263,0.9005524861878453,0.45454545454545453,0.5769230769230769,0.8450130851991858,33,4
0.35,15,164,17,4,0.895,0.7894736842105263,0.9060773480662984,0.46875,0.5882352941176471,0.8477755161384124,32,4
0.4,15,165,16,4,0.9,0.7894736842105263,0.9116022099447514,0.4838709677419355,0.6,0.8505379470776389,31,4
0.45,15,165,16,4,0.9,0.7894736842105263,0.9116022099447514,0.4838709677419355,0.6,0.8505379470776389,31,4
0.5,15,167,14,4,0.91,0.7894736842105263,0.9226519337016574,0.5172413793103449,0.625,0.8560628089560919,29,4
0.55,13,167,14,6,0.9,0.6842105263157895,0.9226519337016574,0.48148148148148145,0.5652173913043478,0.8034312300087234,27,6
0.6,13,167,14,6,0.9,0.6842105263157895,0.9226519337016574,0.48148148148148145,0.5652173913043478,0.8034312300087234,27,6
0.65,13,167,14,6,0.9,0.6842105263157895,0.9226519337016574,0.48148148148148145,0.5652173913043478,0.8034312300087234,27,6
0.7,13,168,13,6,0.905,0.6842105263157895,0.9281767955801105,0.5,0.5777777777777778,0.80619366094795,26,6
0.75,12,170,11,7,0.91,0.631578947368421,0.9392265193370166,0.5217391304347826,0.5714285714285715,0.7854027333527188,23,7
0.8,10,173,8,9,0.915,0.5263157894736842,0.9558011049723757,0.5555555555555556,0.5405405405405405,0.7410584472230299,18,9
0.85,10,173,8,9,0.915,0.5263157894736842,0.9558011049723757,0.5555555555555556,0.5405405405405405,0.7410584472230299,18,9
0.9,9,175,6,10,0.92,0.47368421052631576,0.9668508287292817,0.6,0.5294117647058824,0.7202675196277988,15,10
